service_name|service_ip|service_open_port|service_selector|pod_name|pod_ip|ec2-internal-ip|pod_ports_for_service
cons-manager|10.3.209.40|5050/TCP|app=cons-manager|cons-manager-0|10.2.12.190|ip-10.20.11.183.ec2.internal|10.2.12.190:5050
cons-manager-headless|None|5050/TCP|app=cons-manager|cons-manager-0|10.2.12.190|ip-10.20.11.183.ec2.internal|10.2.12.190:5050
cons-projects|None|3412/TCP,3413/TCP,3414/TCP,3415/TCP|app=cons-projects|cons-projects-0|10.2.191.192|ip-10.20.9.181.ec2.internal|10.2.191.192:3415,10.2.191.192:3413,10.2.191.192:3412
cons-ratelimit-v2-redis|10.3.102.253|6389/TCP|app=ratelimit-v2-redis|ratelimit-v2-redis-75b968b698-9vpzx|10.2.247.19|ip-10.20.9.238.ec2.internal|10.2.247.19:6389
cons-s3commit|10.3.118.41|7500/TCP|app=cons-s3-commit|cons-s3-commit-84dd85fcf6-bmxzx|10.2.211.120|ip-10.20.11.81.ec2.internal|10.2.211.120:7500
cons-shs|10.3.12.40|5431/TCP,5432/TCP|app=cons-shs|cons-shs-8589bdf6c6-rddhj|10.2.236.18|ip-10.20.9.44.ec2.internal|10.2.236.18:5431,10.2.236.18:5432
cons-sisyphus|None|7075/TCP,7076/TCP|app=cons-sisyphus|cons-sisyphus-74ddbdc456-99g8v|10.2.211.121|ip-10.20.11.81.ec2.internal|10.2.211.121:7075,10.2.211.121:7076
cons-webapp-r|None|81/TCP|app=cons-webapp|cons-webapp-0|10.2.64.46|ip-10.20.8.172.ec2.internal|10.2.64.46:81
consul|None|8500/TCP,8400/TCP,8301/TCP,8301/UDP,8302/TCP,8302/UDP,8300/TCP,8600/TCP,9102/TCP|app=consul|consul-0|10.2.242.208|ip-10.20.8.11.ec2.internal|10.2.242.208:9102,10.2.242.208:8600,10.2.242.208:8400
consul-service|10.3.86.209|9999/TCP|app=consul|consul-0|10.2.242.208|ip-10.20.8.11.ec2.internal|10.2.242.208:9999
credentials-manager-service|10.3.33.112|31515/TCP|app=credentials-manager|credentials-manager-5b99dc45b5-dl6r6|10.2.50.106|ip-10.20.9.127.ec2.internal|10.2.50.106:31515
data-monitoring-service|10.3.74.54|5678/TCP|app=data-monitoring|data-monitoring-76d6b96c54-zw5ch|10.2.12.181|ip-10.20.11.183.ec2.internal|10.2.12.181:5678
data-plane-router-service|10.3.41.213|39999/TCP|app=data-plane-router|data-plane-router-578cfb7d9f-whs7z|10.2.64.42|ip-10.20.8.172.ec2.internal|10.2.64.42:39999
delegate-messaging-client-service|10.3.141.249|4678/TCP|app=cons-delegate|cons-delegate-76586f55c-b6g62|10.2.152.171|ip-10.20.10.162.ec2.internal|10.2.152.171:4678
delta-pipelines-manager-service|10.3.136.249|6788/TCP|app=delta-pipelines-manager|delta-pipelines-manager-758cc8cbd-jjgpf|10.2.12.182|ip-10.20.11.183.ec2.internal|10.2.12.182:6788
